run_id,autonomous_weight,control_type
0,0,basic
1,0,basic
2,0,basic
3,0.25,basic
4,0.25,basic
5,0.25,basic
6,0.5,basic
7,0.5,basic
8,0.5,basic
9,0.75,basic
10,0.75,basic
11,0.75,basic
12,1,basic
13,1,basic
14,1,basic,
15,0,intelligent
16,0,intelligent
17,0,intelligent
18,0.25,intelligent
19,0.25,intelligent
20,0.25,intelligent
21,0.5,intelligent
22,0.5,intelligent
23,0.5,intelligent
24,0.75,intelligent
25,0.75,intelligent
26,0.75,intelligent
27,1,intelligent
28,1,intelligent
29,1,intelligent
